,Sub_Zone,Segment,Longitude,Latitude,Sed_Thick,Age,Dip,Vel,Rough,sSSE,lSSE,Max_mag
0,Alaska_Aleutian,0.0,162.496502,55.22499676,1104.879474,,,75.04307097,49.21763496,U,U,7.8
1,Alaska_Aleutian,1.0,162.8895061,55.22494406,834.4749649,100.8275195,,74.96303356,27.20100813,U,U,7.38
2,Alaska_Aleutian,2.0,163.2825088,55.22478568,694.1470161,100.7093544,,74.82009155,55.7196158,U,U,7.38
3,Alaska_Aleutian,3.0,163.6755096,55.22464489,728.5885682,100.4112647,,74.74256886,39.59025458,U,U,7.38
4,Alaska_Aleutian,4.0,164.0633939,55.20811251,804.9548422,99.20930013,,74.67408118,28.09386996,U,U,7.3
5,Alaska_Aleutian,5.0,164.4396517,55.19941267,919.4392938,98.90636431,,74.61454885,15.09240719,U,U,7.3
6,Alaska_Aleutian,6.0,164.7895147,55.15925266,877.1898161,99.3795481,,74.51346254,16.68319561,U,U,7.3
7,Alaska_Aleutian,7.0,165.1191825,55.05107661,880.8010445,100.2048443,,74.52397265,10.40893141,U,U,7.3
8,Alaska_Aleutian,8.0,165.4286451,54.92024579,879.0985797,100.4788076,8.321601177,74.49194856,9.365897229,U,U,6.4
9,Alaska_Aleutian,9.0,165.657772,54.74865174,876.0372022,100.1745184,9.760559845,74.52033883,56.79687751,U,U,6.4
10,Alaska_Aleutian,10.0,165.8272282,54.54676676,893.4073049,100.5888704,9.519001644,74.59390324,39.61431284,U,U,6.3
11,Alaska_Aleutian,11.0,165.9966188,54.34509409,878.6813107,101.015227,8.919328359,74.60140816,24.34435762,U,U,6.3
12,Alaska_Aleutian,12.0,166.2071666,54.16076097,819.0129384,101.9317676,8.051723599,74.64503734,14.35479134,U,U,6.3
13,Alaska_Aleutian,13.0,166.5018496,54.02688138,815.387548,102.6778418,7.073890157,74.62141516,9.636986025,U,U,5.5
14,Alaska_Aleutian,14.0,166.84076,53.92843918,811.9781013,102.9013129,8.041342174,74.62733346,5.878556204,U,U,5.5
15,Alaska_Aleutian,15.0,167.1553612,53.80755999,788.1975053,102.8607197,9.508788549,74.5896836,9.155090632,U,U,0.0
16,Alaska_Aleutian,16.0,167.4564944,53.67385121,805.7523587,103.1333304,9.475726477,74.55984174,9.28523096,U,U,0.0
17,Alaska_Aleutian,17.0,167.7871018,53.56946574,814.3317888,103.1695791,9.717866007,74.5752479,10.2322563,U,U,0.0
18,Alaska_Aleutian,18.0,168.084493,53.44683487,803.6292798,103.0313475,13.93574046,74.54630843,10.31958348,U,U,0.0
19,Alaska_Aleutian,19.0,168.3407859,53.2914263,815.2141906,103.2138345,13.53517333,74.55461689,9.017075548,U,U,0.0
20,Alaska_Aleutian,20.0,168.6098756,53.1387843,815.3924623,103.3085075,13.52154667,74.55577509,10.27362882,U,U,5.4
21,Alaska_Aleutian,21.0,168.8937222,52.9949671,796.2266603,103.3148621,13.30842352,74.54246374,14.50439378,U,U,5.4
22,Alaska_Aleutian,22.0,169.2131016,52.8859782,686.3840428,102.7624998,12.79214655,74.50008322,21.41695899,U,U,5.4
23,Alaska_Aleutian,23.0,169.5620919,52.81540552,583.7118141,102.0373869,13.65718851,74.42150496,23.24544071,U,U,5.4
24,Alaska_Aleutian,24.0,169.8990138,52.72970106,572.9434889,102.3628487,15.58633956,74.42647378,27.94895903,U,U,4.8
25,Alaska_Aleutian,25.0,170.2218906,52.62103789,613.2971307,103.029049,15.24193042,74.37835438,23.65814455,U,U,4.8
26,Alaska_Aleutian,26.0,170.5469093,52.51529607,672.6366751,104.0381548,15.85924947,74.33068276,24.77880557,U,U,7.01
27,Alaska_Aleutian,27.0,170.8655763,52.40362406,619.0466305,103.089272,19.20794208,74.29070534,20.20540499,U,U,7.01
28,Alaska_Aleutian,28.0,171.1590279,52.27122844,573.8687292,101.9483476,24.96560362,74.27283555,19.71720496,U,U,7.01
29,Alaska_Aleutian,29.0,171.4182835,52.11381647,539.3973435,100.3898081,25.85747338,74.28416318,19.11598835,U,U,7.01
30,Alaska_Aleutian,30.0,171.7010829,51.98428934,402.301786,92.30382226,22.83304623,74.26688428,11.32790872,U,U,5.8
31,Alaska_Aleutian,31.0,172.0369572,51.9119928,399.5833474,85.89451616,23.43381504,74.19961186,14.29175189,U,U,6.4
32,Alaska_Aleutian,32.0,172.3654535,51.82614254,398.8677527,86.14097018,28.86335608,74.14723528,15.60165426,U,U,7.37
33,Alaska_Aleutian,33.0,172.6836937,51.72195142,389.2926964,80.12461367,28.42340987,74.10249726,13.77751518,U,U,7.37
34,Alaska_Aleutian,34.0,173.0129936,51.63311957,385.138677,76.08464292,30.40565646,74.05107967,26.58791557,U,U,7.37
35,Alaska_Aleutian,35.0,173.3477862,51.55461462,387.8130649,70.11249724,32.07023728,73.98592366,20.08436433,U,U,7.37
36,Alaska_Aleutian,36.0,173.6757237,51.46627451,391.6391207,68.64495297,36.29557921,73.93552326,19.62767524,U,U,6.85
37,Alaska_Aleutian,37.0,173.9960085,51.36710918,395.7314771,62.33366868,36.47520371,73.89269247,21.79946755,U,U,6.85
38,Alaska_Aleutian,38.0,174.3342609,51.29784954,400.342726,54.34346265,36.74133724,73.82208342,11.04131739,U,U,6.57
39,Alaska_Aleutian,39.0,174.6661011,51.21979437,399.2190321,53.84796349,40.71102695,73.76616026,12.18327353,U,U,7.24
40,Alaska_Aleutian,40.0,174.9751835,51.11209792,391.1015053,51.05064865,40.13890668,73.73183098,8.242761717,U,U,7.24
41,Alaska_Aleutian,41.0,175.3032684,51.06028645,373.1556979,50.74734036,37.79537346,73.66291401,11.88976488,U,U,7.24
42,Alaska_Aleutian,42.0,175.6520923,51.05873961,370.9993009,50.76096463,41.77028052,73.56669695,15.12628292,U,U,7.24
43,Alaska_Aleutian,43.0,175.9861459,51.00856115,374.0016693,50.6785323,41.33802634,73.42032689,14.60154852,U,U,8.7
44,Alaska_Aleutian,44.0,176.3008125,50.90530274,357.8437955,51.1686421,39.32747124,73.38787979,13.01548808,U,U,8.7
45,Alaska_Aleutian,45.0,176.6020712,50.7865392,338.5651213,51.74303851,37.18628424,73.36278961,14.7566028,U,U,8.7
46,Alaska_Aleutian,46.0,176.9223587,50.70797763,292.19521,52.65901181,35.82965925,73.3173622,10.86578182,U,U,8.7
47,Alaska_Aleutian,47.0,177.2610781,50.65304774,286.9271202,52.85790603,37.10591179,73.24488037,11.46238284,U,U,8.7
48,Alaska_Aleutian,48.0,177.5948846,50.57938556,276.6632023,53.26308733,36.40392659,73.12101545,15.47819706,U,U,8.7
49,Alaska_Aleutian,49.0,177.9277418,50.50511242,268.6150908,53.67657867,34.94430471,73.06330406,16.11909544,U,U,8.7
50,Alaska_Aleutian,50.0,178.2613431,50.43691934,260.9977077,53.97076025,33.31049652,73.00617851,17.72482505,U,U,8.7
51,Alaska_Aleutian,51.0,178.5981591,50.37755193,257.1499127,54.40716026,31.3668706,72.94282761,13.54438099,U,U,8.7
52,Alaska_Aleutian,52.0,178.9328933,50.36485941,261.9839515,56.28033921,31.08581998,72.85973923,10.93688135,U,U,8.7
53,Alaska_Aleutian,53.0,179.2738518,50.38876876,266.7309704,56.15388543,32.80514224,72.68349194,8.96353239,U,U,8.7
54,Alaska_Aleutian,54.0,179.6222385,50.37826897,266.823212,56.17691155,32.59386972,72.58830829,8.50107971,U,U,8.7
55,Alaska_Aleutian,55.0,179.9707693,50.35436963,265.0445736,56.25413203,31.53489,72.50743686,9.239438401,U,U,8.7
56,Alaska_Aleutian,56.0,-179.6789071,50.3483839,261.879973,56.26227492,30.86731694,72.33969104,9.289193926,U,U,6.71
57,Alaska_Aleutian,57.0,-179.3281971,50.34107192,249.9446447,56.27628076,29.12695649,72.24685737,7.439800508,U,U,6.85
58,Alaska_Aleutian,58.0,-178.9775768,50.33294721,226.3644509,56.29135577,27.69332044,72.16155763,10.7229681,U,U,6.85
59,Alaska_Aleutian,59.0,-178.6267388,50.32793768,211.8293429,56.47506858,25.91786717,71.99557556,9.542938716,U,U,6.85
60,Alaska_Aleutian,60.0,-178.2762291,50.32881161,201.8116635,56.604021,24.91892767,71.89854588,10.6281592,U,U,6.85
61,Alaska_Aleutian,61.0,-177.927079,50.34899047,195.1066138,56.63617917,24.52241369,71.72715037,12.19600052,U,U,6.5
62,Alaska_Aleutian,62.0,-177.5774102,50.36819751,190.3746967,56.87755269,23.73135368,71.62523019,9.766319011,U,U,6.5
63,Alaska_Aleutian,63.0,-177.2266666,50.38150981,187.6942576,57.93864433,23.28009107,71.52432383,9.905055196,U,U,8.6
